Nombre del artista,Título de la canción,Número de canción,Título del álbum,Fecha de lanzamiento,Nombre del compositor,Nombre del productor musical,Código ISRC,Sello discográfico,Compañía editorial,Entidad de gestión de derechos,Género/s musical/es,Número de reproducciones,Top 5,Contacto (campo comentarios)
Jordan Morgan,Break idea population.,7,Head great.,2022-01-05,Stephanie Hall,Tammy Ramos,978-0-413-91056-1,Sony Music,Warner/Chappell Music,BMI,Country,184310,False,jordanshawn@example.org
Linda Garcia MD,Able tax over.,10,Rule American answer.,2022-03-28,Christopher Ward,Bradley Horne,978-1-7349784-1-4,Warner Music Group,Warner/Chappell Music,ASCAP,Classical,695533,False,jefferyhayes@example.org
Daniel Johnson,Sing other role over.,3,Herself line today.,2001-06-18,Anna Schaefer,Peter Dunn,978-0-344-66700-8,Sony Music,Warner/Chappell Music,SESAC,Rock,810937,False,brian49@example.org
Tim Davis,Leader their.,4,Base so end beat.,2018-11-08,Travis Frye,Kayla Robertson,978-1-74146-301-9,Warner Music Group,Universal Music Publishing Group,ASCAP,Electronic,273924,False,fgay@example.org
Anthony Banks,Expect election alone.,3,Particularly explain image.,2010-06-21,Nancy Parker,Kimberly Morris,978-0-201-73077-7,Universal Music Group,Kobalt Music Group,ASCAP,Electronic,197127,False,zstone@example.org
Louis Rivera,Blue money move natural early.,12,Lose front already.,2007-08-30,Jeffrey Carlson,Troy Rodriguez,978-1-81392-516-2,Warner Music Group,Warner/Chappell Music,ASCAP,Reggae,26795,False,mitchellerica@example.org
Eileen Foster,Although address truth.,9,Want soon.,2021-07-06,Michael Rodgers,Lisa Parks,978-1-4667-2584-3,EMI,Warner/Chappell Music,BMI,Merengue,453929,False,william00@example.net
Carrie Barry,Data event share kind.,4,Skill song.,2023-01-27,Brittany Gray,Beth Todd,978-1-4799-1349-7,EMI,Sony/ATV Music Publishing,SESAC,Pop,465210,False,kathrynmercado@example.com
Jane Romero,Thing much lead nothing government.,2,Still.,2004-05-09,Mr. Bryan Brooks,Amanda Morgan,978-0-941485-82-1,EMI,Universal Music Publishing Group,SESAC,Vallenato,517908,False,teresa70@example.net
Samuel Floyd,Tv election once court nothing.,6,Save report contain.,2010-08-23,Karen Wheeler,Caroline Reed,978-1-913523-07-7,Warner Music Group,Sony/ATV Music Publishing,ASCAP,Vallenato,768992,False,tinamoody@example.net
Matthew Maxwell,Mr could charge.,2,Ever sound.,2004-03-13,Geoffrey Rivera,Jill Blair,978-0-8106-3177-9,Universal Music Group,Kobalt Music Group,BMI,Jazz,847197,False,erik08@example.com
Ethan Baker,Doctor bag.,11,Believe still.,2005-07-12,Steven Ellis,William Simon,978-1-72300-033-1,EMI,Universal Music Publishing Group,SESAC,Pop,78981,False,bvega@example.org
Raymond Johnson,Recently thought.,6,Kitchen pretty black.,2021-02-04,Jamie Khan,Crystal Rodriguez,978-0-379-07418-5,EMI,Universal Music Publishing Group,SESAC,Reggeton,260056,False,lauraolson@example.org
Crystal Gomez,Mean right then.,5,Friend keep according.,2005-02-03,Robert Solis,Jennifer Huff,978-0-433-47911-6,Warner Music Group,Universal Music Publishing Group,ASCAP,Country,113178,False,edwardmcfarland@example.com
Jessica Mclean,Spring feeling direction mission.,5,Notice listen executive.,2012-04-08,Dana Jones,Brianna Miller,978-1-70740-440-7,Sony Music,Warner/Chappell Music,ASCAP,Salsa,375270,False,ravenjarvis@example.com
Carla Powers,Management up.,4,Figure.,2010-04-27,Keith Love,Tyler Young,978-1-4494-8809-3,EMI,Kobalt Music Group,ASCAP,Rock,774634,False,michael97@example.org
Roy Williams,Drop skill.,6,Resource current within.,2014-08-23,Michele Rogers,Peter Duncan,978-1-74214-105-3,Warner Music Group,Kobalt Music Group,BMI,Reggae,449384,False,molinajennifer@example.org
Jaime Zuniga,Task drop threat before light.,9,Say sure start.,2020-04-16,Jesse Navarro,Erica Brewer,978-0-283-84271-9,EMI,Universal Music Publishing Group,ASCAP,Salsa,223262,False,rpage@example.net
Andrea Anthony,Church plan or.,12,Least American camera.,2020-09-09,Samuel Ponce,Victoria Pena,978-1-85970-187-4,EMI,Universal Music Publishing Group,SESAC,Rock,560115,False,krystalbarajas@example.com
Robert Hutchinson,Third if tell themselves someone.,11,Culture cut trade.,2005-08-21,Ryan King,Mrs. Vicki Weiss,978-0-323-19243-9,Sony Music,Sony/ATV Music Publishing,SESAC,Reggae,377775,False,rebeccagarza@example.com
William Fleming,Property must Mrs imagine inside.,7,Only bring work.,2024-03-07,Dean Williams,Craig Kline,978-1-200-55952-9,Sony Music,Sony/ATV Music Publishing,ASCAP,Salsa,476918,False,raymondmanning@example.org
Jennifer Jones,Even pull ready.,7,Help town go.,2018-05-13,Jonathan Gonzalez,Lisa Harris,978-1-5310-6844-8,Sony Music,Universal Music Publishing Group,BMI,Salsa,459714,False,larsonkeith@example.com
Michael Warren,Staff you six.,2,Should drop always.,2017-07-14,Tammy Hughes,Louis Griffith,978-0-938645-29-0,Universal Music Group,Kobalt Music Group,BMI,Merengue,474860,False,wbeltran@example.org
Marie Mendoza,Deep figure their participant board.,9,Measure on manage.,2016-10-10,Steve Smith,Tamara Miller,978-0-85657-082-7,Warner Music Group,Universal Music Publishing Group,SESAC,Jazz,340179,False,yorkcurtis@example.com
Amanda Schneider,Something possible end.,7,Spring tree although.,2014-05-06,Jocelyn Le,Jacqueline Morris,978-0-571-60185-1,Universal Music Group,Sony/ATV Music Publishing,SESAC,Merengue,103754,False,lauracampbell@example.org
John Page,Fill budget.,9,Either arm almost.,2008-08-08,Wayne Garcia,Andre Mays,978-1-64230-771-9,EMI,Warner/Chappell Music,SESAC,Vallenato,476129,False,raymondspears@example.com
Zachary Ross,Reduce enter weight old.,6,Ability contain.,2004-12-23,James Paul,William Quinn,978-1-60981-001-6,Universal Music Group,Sony/ATV Music Publishing,SESAC,Salsa,451553,False,katkins@example.org
Jasmine Young,Four partner two improve call.,8,Huge statement account.,2009-08-05,Nicole Petersen,Charles Miller,978-1-4612-9240-1,Warner Music Group,Kobalt Music Group,SESAC,Reggae,553716,False,robertgibson@example.net
David Howard,Take national.,11,Knowledge this main.,2024-03-16,Christopher Lewis,Anna Johnson,978-1-64691-131-8,Sony Music,Warner/Chappell Music,BMI,Jazz,347651,False,dustindalton@example.org
Michael Mahoney,So hot ahead so many.,6,Operation he store.,2015-11-20,Samantha Larson,Philip Brown,978-1-09-736298-1,Sony Music,Sony/ATV Music Publishing,ASCAP,Reggae,836606,False,gonzalezdoris@example.com
Alisha Mitchell,Spend group hair.,3,Moment group pay.,2010-06-11,Jamie Hood,Carlos Morris,978-0-498-69065-5,EMI,Warner/Chappell Music,ASCAP,Reggeton,863709,False,wharmon@example.com
Brenda Stevens,Still light reach name.,10,Break rather.,2019-04-03,Kelsey Walker,Mark Mcpherson,978-0-7023-8112-6,Sony Music,Warner/Chappell Music,SESAC,Vallenato,678202,False,xmercado@example.net
Chelsea Moore,Poor opportunity local area end.,7,Sea pull increase.,2008-01-24,Pamela Alexander,Timothy Goodwin,978-0-308-25793-1,Warner Music Group,Warner/Chappell Music,BMI,Country,73765,False,alyssa21@example.com
Dean Henderson,Well focus federal.,12,Evidence election former.,2016-07-24,Austin Calderon,Susan Burke,978-1-02-056305-8,Warner Music Group,Warner/Chappell Music,ASCAP,Electronic,291983,False,lucas59@example.com
Paul Martin,Speak appear.,7,Environment whom strong.,2023-06-20,Heather Johnson,Lauren Hale,978-0-86867-260-1,Sony Music,Kobalt Music Group,SESAC,Classical,234480,False,aguirrekelly@example.org
Anthony Green,Result pressure when police.,12,Father since spring.,2023-07-22,Beverly Wilson,Billy Johnson,978-0-9599604-3-3,Warner Music Group,Kobalt Music Group,ASCAP,Country,817348,False,rwilson@example.com
Russell Parrish,Issue president local.,3,Reveal name fill.,2002-10-18,Amber Green,Shane Knox,978-0-02-990362-9,Universal Music Group,Warner/Chappell Music,ASCAP,Electronic,835671,False,joshuagould@example.org
Mr. Jon Ford,Where significant.,9,Their early record.,2012-08-28,Stephanie Steele PhD,Brittney Williamson,978-0-7489-4945-8,Universal Music Group,Kobalt Music Group,SESAC,Jazz,267703,False,imoore@example.com
Nathan Gonzales,Own building be say.,1,Change term.,2018-01-23,Walter Hill,Wendy Coleman,978-1-4942-8596-8,Universal Music Group,Warner/Chappell Music,ASCAP,Reggae,741067,False,williamjones@example.org
Samuel White,What whose really take.,3,Force mind.,2012-08-10,Thomas Moss,Angela Park,978-1-86798-027-8,Sony Music,Universal Music Publishing Group,ASCAP,Country,451250,False,allisonyoung@example.org
David Walker,Maybe carry never.,3,Gas kind feel benefit.,2022-10-04,Robert Weber,Ms. Julie Smith,978-0-930922-95-5,EMI,Sony/ATV Music Publishing,SESAC,Electronic,606782,False,lhernandez@example.com
Brian Levine,Budget quality quality more.,3,Say.,2002-12-03,Nicholas Bush,Jennifer Cochran,978-0-07-195239-2,Sony Music,Universal Music Publishing Group,ASCAP,Electronic,383088,False,akim@example.net
Jessica Duncan,Film almost agent.,9,Window.,2014-02-25,Joshua Harris,John Robbins,978-0-383-96624-7,Sony Music,Kobalt Music Group,ASCAP,Classical,80629,False,robert89@example.com
Brian Cuevas,This send people wind.,10,Seven result unit.,2007-10-15,Robert Joseph,Joshua Cervantes,978-1-03-197498-0,EMI,Kobalt Music Group,SESAC,Reggeton,14427,False,torresandrew@example.org
Ryan Bautista,Still TV particular small.,4,Occur president nice.,2013-07-31,Christopher Krueger,Stephanie Garrett,978-0-924972-68-3,Sony Music,Kobalt Music Group,BMI,Pop,43048,False,williambailey@example.org
Heather Hernandez,Style or idea green character.,4,After worry.,2011-06-26,Anthony Perry,Brianna Brown,978-0-03-459930-5,Sony Music,Warner/Chappell Music,ASCAP,Merengue,572378,False,jmunoz@example.org
Daniel Burton,Single describe truth exist.,4,Capital pretty.,2003-07-16,Lisa Chen,Adam Smith,978-0-11-896454-8,EMI,Sony/ATV Music Publishing,BMI,Classical,735714,False,shannonlindsey@example.com
Robert Williams,According rate.,12,Stuff research.,2020-12-23,Deborah Garcia,Scott Small,978-0-9777271-4-8,EMI,Warner/Chappell Music,BMI,Vallenato,125636,False,ramosalexander@example.com
Laurie Andersen,Cold follow since goal executive.,5,Where seem.,2013-06-14,Pamela Deleon,Marissa White,978-1-67695-555-9,Sony Music,Warner/Chappell Music,BMI,Country,163419,False,reyesveronica@example.org
Teresa Stone,Bed factor.,4,Behavior.,2012-07-21,Larry Smith,Susan Murray,978-0-7257-6875-1,Warner Music Group,Kobalt Music Group,BMI,Electronic,670472,False,crystal72@example.net
Shannon Woods,Big technology.,9,Later best heart.,2021-01-25,John Hansen,Gregory Brown,978-1-05-587532-4,Universal Music Group,Universal Music Publishing Group,SESAC,Classical,596749,False,qhodges@example.org
William Daniels,Because trouble theory hard.,1,Common very sense.,2003-09-04,Dennis Cole,Douglas Johnson,978-0-319-07362-9,Sony Music,Kobalt Music Group,SESAC,Merengue,472573,False,jasongonzalez@example.org
William Reese,Relationship window team.,9,Provide break.,2023-10-13,Daniel Wallace,Stephanie Greene,978-1-900786-14-0,Universal Music Group,Warner/Chappell Music,SESAC,Merengue,142772,False,madisonjohnson@example.com
Theresa Davis,Space in again.,9,Among worry gun.,2021-08-28,Mark Taylor,Jennifer Serrano,978-1-271-03349-2,EMI,Kobalt Music Group,ASCAP,Reggeton,632976,False,vazquezmason@example.org
Dustin Medina,Myself actually Congress.,10,Time.,2008-03-15,Debra Rios,Haley Watson,978-0-673-00785-8,Sony Music,Warner/Chappell Music,BMI,Jazz,578291,False,rhodesmichael@example.com
Jennifer Nguyen,Total great.,3,Discover staff stop.,2006-05-25,Samantha Lee,Christopher Lewis,978-0-372-05785-7,Universal Music Group,Universal Music Publishing Group,SESAC,Classical,790669,False,beckerbrianna@example.org
Taylor Jensen,Follow trip store.,12,Water game.,2019-10-15,Barry Mcmahon,Cynthia Macias,978-1-946614-72-8,EMI,Sony/ATV Music Publishing,BMI,Reggae,298223,False,hoovercolin@example.org
Eric Landry,Audience sign item.,10,Behavior style wonder.,2007-03-30,Jack Lee,Corey Leblanc,978-1-4923-1166-9,Warner Music Group,Sony/ATV Music Publishing,BMI,Merengue,458263,False,april37@example.net
Traci Perez,Might play water worry.,12,Research charge.,2005-05-22,Travis Robbins,Tony Harvey,978-0-468-34345-1,Warner Music Group,Sony/ATV Music Publishing,ASCAP,Salsa,712382,False,jacobsjennifer@example.org
Lindsay Jimenez,Almost since hospital.,2,Economy point enter.,2001-09-16,Jeffrey Paul,Tonya Mason,978-1-4035-9563-8,EMI,Kobalt Music Group,ASCAP,Reggeton,255229,False,bleach@example.net
Mr. Michael Mercer,Treatment example technology trouble.,6,Hand.,2017-12-02,Jason Phillips,Nicole Gonzalez,978-0-301-93524-9,EMI,Sony/ATV Music Publishing,BMI,Reggeton,788704,False,thompsonmelissa@example.com
Brian Richardson,Week world red.,1,Vote possible.,2007-09-22,Stephanie Vargas,James Dalton,978-1-06-702809-1,Universal Music Group,Kobalt Music Group,BMI,Hip Hop,850071,False,jason89@example.net
Robert Aguirre,Own art memory body hear.,10,They get.,2020-12-05,Kirk Marshall,Stacey Thomas,978-1-948922-28-9,EMI,Universal Music Publishing Group,BMI,Jazz,612400,False,obrienjames@example.com
Joseph Walker,Which newspaper fear area.,11,Maybe per.,2002-08-17,Deanna Martin,Peter Brown,978-1-944327-53-8,Sony Music,Kobalt Music Group,SESAC,Pop,502318,False,richrhonda@example.net
Robin Jimenez,Produce science a.,5,International board food.,2001-11-08,Annette Harris,Donald Salazar,978-1-971791-24-1,Warner Music Group,Kobalt Music Group,BMI,Hip Hop,360171,False,kingdennis@example.com
Austin Walker,Particular everyone television.,7,Future time.,2016-06-10,Jesse Miller,Michael Kelly,978-1-9808-4499-0,Sony Music,Kobalt Music Group,SESAC,Reggae,777841,False,jennifer89@example.net
Connie Ochoa,Return indeed decision.,2,Rather.,2000-07-21,Leslie Chang,Anna Hunter,978-0-7329-5264-8,Sony Music,Kobalt Music Group,ASCAP,Pop,461011,False,morenojennifer@example.net
Sara Allen,Oil within.,11,Card hotel and.,2021-09-25,Megan Hill,Stephen Heath,978-1-79725-387-9,Sony Music,Universal Music Publishing Group,ASCAP,Reggae,796830,False,vcoleman@example.net
Kelly Howell,Present inside main.,5,Grow painting.,2000-12-13,Dr. Diana Valdez MD,David Murphy,978-0-688-76673-3,Warner Music Group,Universal Music Publishing Group,ASCAP,Rock,267739,False,ewilson@example.com
John Martin,Human fact provide.,5,Center ever relate.,2017-05-11,Karen Romero,Sean Owens,978-0-935672-97-8,EMI,Warner/Chappell Music,BMI,Vallenato,838564,False,nicolas77@example.com
Corey Martinez,Year do.,1,Dream window up.,2014-07-12,Tracy Vaughn,Jason Huang,978-1-60736-827-4,Universal Music Group,Universal Music Publishing Group,ASCAP,Salsa,841342,False,shawndavis@example.net
Anna Hughes,Reveal avoid shake perhaps.,9,Health lawyer.,2016-11-21,Lindsay Stewart,Kayla Suarez,978-1-886680-49-4,Universal Music Group,Sony/ATV Music Publishing,BMI,Classical,489884,False,burkebrandon@example.com
Diane Raymond,Among itself director.,6,Summer beyond.,2013-04-30,Janet Macias,Christopher Hudson,978-1-5420-1931-6,EMI,Warner/Chappell Music,ASCAP,Pop,919016,False,smcintosh@example.net
Douglas Dunlap,People I.,2,Official.,2007-06-08,Erik Davis,Courtney Herrera,978-0-07-629130-4,Universal Music Group,Universal Music Publishing Group,BMI,Rock,44717,False,colleenpoole@example.org
Amber Evans,Its character.,1,Respond develop.,2005-08-22,Stephanie Burgess,Shane White,978-0-8487-1552-6,Universal Music Group,Kobalt Music Group,ASCAP,Hip Hop,621653,False,richardsonlisa@example.org
Melissa Baker,Car article American especially figure.,7,Art customer.,2004-03-10,Ryan Smith DVM,Harry Brock,978-1-221-86349-0,Warner Music Group,Universal Music Publishing Group,ASCAP,Classical,743877,False,angelabowman@example.net
Justin Arroyo,Final yourself pretty certainly.,9,Religious one study.,2019-05-05,Robert Evans,Robert Ritter,978-0-9512015-9-6,Warner Music Group,Sony/ATV Music Publishing,BMI,Salsa,46644,False,megan95@example.net
Samuel Hughes,Positive early south.,9,Financial part imagine.,2022-10-13,Jonathan Levy,Gina Miles,978-0-8334-8043-9,Warner Music Group,Universal Music Publishing Group,BMI,Salsa,949897,False,laura32@example.org
Michael Mcdowell,While you.,6,Analysis reduce.,2010-08-30,Jerome Foster,Shannon Roberts,978-1-372-03813-6,Warner Music Group,Warner/Chappell Music,BMI,Merengue,413906,False,erichenry@example.org
Marcus Newton,Sing political dark.,8,Program page growth.,2005-07-01,William Noble,Brian Lucas,978-0-224-14293-9,Warner Music Group,Kobalt Music Group,ASCAP,Classical,953508,False,asmith@example.net
Todd Robinson,Let what rate blood.,11,It culture.,2004-12-12,Kerry Flynn,Alan Coleman,978-1-72898-731-6,Universal Music Group,Kobalt Music Group,BMI,Reggeton,795586,False,evanmoore@example.org
Jennifer Wade,Also none increase.,1,How western work.,2018-12-28,Rhonda Kline,Cynthia Williams,978-1-111-34286-9,EMI,Kobalt Music Group,BMI,Rock,552203,False,ivansanchez@example.com
Mrs. Isabella Morales,Subject play specific.,9,Group.,2015-07-28,Kayla Nguyen,Ashley Robinson,978-0-419-26721-8,Universal Music Group,Warner/Chappell Music,SESAC,Hip Hop,869270,False,kara25@example.org
Donna Byrd,Show music however represent feeling.,11,Even something still red.,2001-05-18,Glenn Roy,Jose Gibson,978-1-965073-79-7,Warner Music Group,Universal Music Publishing Group,ASCAP,Pop,3008,False,greendawn@example.com
Bruce Casey,Best almost sell participant.,3,Remain almost.,2013-10-11,Sharon Burke,Erin Schmidt,978-1-390-10935-1,Universal Music Group,Sony/ATV Music Publishing,BMI,Reggeton,452460,False,kayla96@example.net
Sarah Waters,Tough author term view newspaper.,8,Land son discover such.,2007-05-09,Mary Hernandez,Anthony Brown,978-1-01-691946-3,EMI,Universal Music Publishing Group,SESAC,Reggae,952322,False,mhall@example.com
Misty Carson,Foot animal far range fund.,7,Provide town.,2018-12-12,Colton Larson,John Brown,978-0-459-73026-0,Sony Music,Sony/ATV Music Publishing,BMI,Rock,291189,False,watkinsdanielle@example.net
Cynthia Hughes,Today pattern kind.,5,Your coach safe.,2016-02-05,Amanda Gomez,Jessica Brown,978-1-64853-830-8,Universal Music Group,Universal Music Publishing Group,SESAC,Reggeton,150569,False,caldwellpeter@example.org
Brandon Whitney,Particularly art call.,7,Box.,2017-08-20,Kristen Jennings,Emily Brown,978-0-523-07295-1,EMI,Kobalt Music Group,SESAC,Salsa,503177,False,matthewlove@example.net
Devin Hill,Most year voice forward.,7,Message lawyer anything citizen.,2012-01-08,Molly Ponce,Kyle Benson,978-1-883395-08-7,Sony Music,Warner/Chappell Music,ASCAP,Vallenato,116822,False,amandagates@example.net
Mrs. Jennifer Lyons,Race strategy often party.,2,I machine.,2019-01-31,Tonya Wilson,Sherri Bell,978-1-5398-6856-9,Warner Music Group,Sony/ATV Music Publishing,BMI,Pop,154110,False,michelle16@example.net
Vanessa Watkins,Seat fast.,1,Manager cut.,2016-09-15,Christopher Thompson,Mark Rodriguez,978-1-64724-206-0,EMI,Warner/Chappell Music,SESAC,Hip Hop,377399,False,michaelcox@example.org
John Rogers,Relationship be week position seek.,1,Hold consider.,2018-04-28,Amber Clark,Jeremy Hicks,978-0-14-257196-5,Sony Music,Warner/Chappell Music,BMI,Reggeton,367960,False,carlsanford@example.net
Keith Lester,Price generation still admit guy.,12,Quickly bad decade chance.,2013-12-16,Debbie Ibarra,Daniel Peters,978-0-582-56846-4,EMI,Sony/ATV Music Publishing,BMI,Reggae,226736,False,fgomez@example.org
John Lee,Sit him.,10,Number common.,2018-07-02,Edgar Vega,Bradley Haynes,978-1-03-921987-8,Sony Music,Kobalt Music Group,SESAC,Hip Hop,618094,False,nbishop@example.com
Mr. Russell Flynn,Check trial worry.,11,Thank spring notice.,2020-08-26,Stephanie Todd,Emily Reynolds,978-1-05-437951-9,Universal Music Group,Sony/ATV Music Publishing,ASCAP,Reggae,30907,False,draketodd@example.org
Ruben Brown,National single by similar.,7,Me cost.,2019-03-08,Nicholas Wade,Cheryl Walker,978-0-89748-522-7,Sony Music,Kobalt Music Group,BMI,Electronic,690312,False,ramirezruben@example.net
Anthony Smith,Land popular carry.,6,Any.,2008-09-10,Roger Collins,Chelsea Taylor,978-1-196-94865-9,EMI,Warner/Chappell Music,ASCAP,Merengue,33369,False,jonathan74@example.com
Patricia Williams,Technology as wide themselves until.,9,Lot process wide.,2016-01-04,Bobby Forbes,Sarah Jackson,978-1-131-16439-7,Universal Music Group,Warner/Chappell Music,SESAC,Country,502289,False,jessica29@example.com
Erica Barker,Born hundred man skin.,6,Because ready pattern.,2005-08-06,Susan Reyes,Yvette Fields,978-0-238-84257-3,Sony Music,Warner/Chappell Music,SESAC,Electronic,94774,False,samanthacuevas@example.com
Stacy West,Firm blood.,6,Lead specific well.,2001-07-02,Gene Collins,Christopher Moore,978-1-07-982091-1,Warner Music Group,Warner/Chappell Music,BMI,Jazz,542057,False,michelle48@example.org
James Smith,Reveal challenge or.,1,See region.,2006-01-24,Jim Castillo,Lisa Mcguire,978-0-8362-2133-6,Sony Music,Universal Music Publishing Group,SESAC,Country,262896,False,tinaterry@example.org
Martin Poole,Toward himself coach follow.,4,Than people.,2019-03-06,Dr. Monique Walker MD,Marco Hays,978-1-5342-6110-5,Universal Music Group,Sony/ATV Music Publishing,ASCAP,Reggae,495366,False,elizabethjohns@example.org
Arthur Stokes,President each.,7,Watch simply.,2019-03-04,Stephanie Williams,Joseph Anderson,978-1-199-40616-3,Universal Music Group,Warner/Chappell Music,SESAC,Reggae,992284,False,ericabean@example.com
Angela Velez,Science catch police.,2,Participant least.,2020-12-04,Stacey Allison,Brandon Barber,978-0-355-08005-6,Sony Music,Sony/ATV Music Publishing,ASCAP,Jazz,465388,False,bjones@example.org
Krista Gomez,Shake herself often leave.,12,Some serious.,2008-08-09,Brian Adams,Diane Lopez,978-0-7233-9468-6,Universal Music Group,Universal Music Publishing Group,SESAC,Salsa,374978,False,colonbryan@example.net
Chad Hicks,Into full part.,11,Himself necessary wonder standard.,2003-07-10,William Willis,David Miller,978-0-09-979648-0,Sony Music,Sony/ATV Music Publishing,ASCAP,Salsa,238091,False,robertaherring@example.net
Sean Hickman,Consider least peace.,7,Not later name for.,2006-01-16,Erica Torres,Mr. Scott Murphy,978-0-8284-4784-3,EMI,Universal Music Publishing Group,SESAC,Rock,644808,False,jacqueline18@example.com
Bonnie Bowman,War instead police standard.,11,Great successful.,2005-06-18,Julia Robinson,Sarah Harvey,978-1-4285-1385-3,Sony Music,Universal Music Publishing Group,ASCAP,Reggeton,596264,False,diazlisa@example.org
Morgan Rogers,Glass central international most skin.,10,Political leave picture.,2004-10-11,David Wright,Jeffery Winters,978-0-911897-60-9,Sony Music,Kobalt Music Group,ASCAP,Classical,721235,False,tyler00@example.org
Mitchell Buchanan,Interesting he herself number.,9,Firm near require.,2007-04-22,Jared Diaz,Christopher Andrews,978-1-226-69411-2,Sony Music,Kobalt Music Group,BMI,Jazz,749166,False,jason99@example.org
Tyler Perez,Laugh rise.,2,Choose weight.,2013-12-06,Steven Burton,Dawn Reynolds,978-0-300-60536-5,Universal Music Group,Warner/Chappell Music,ASCAP,Reggeton,425908,False,mitchellmcdonald@example.com
Tamara Huang,Officer practice husband painting.,10,Within under get.,2007-08-10,Alison Davis,Lisa Fletcher,978-0-17-254293-5,Sony Music,Universal Music Publishing Group,ASCAP,Salsa,286693,False,jillburke@example.com
David Peterson,See letter practice want.,1,Citizen mouth contain.,2000-11-20,Elizabeth Green,Cory Stewart,978-1-63441-830-0,EMI,Kobalt Music Group,SESAC,Vallenato,344003,False,tkramer@example.com
Jason Wright,Three attack office open.,10,Provide president.,2017-12-25,David Costa,Matthew Stark,978-1-5361-4805-3,Sony Music,Sony/ATV Music Publishing,SESAC,Reggae,14706,False,meyersmichael@example.com
Jason Cook,Money health participant.,1,Movie firm.,2004-01-09,Christopher Weber,Blake Park,978-0-466-43589-9,EMI,Universal Music Publishing Group,SESAC,Electronic,121783,False,clifford40@example.net
Justin Higgins,Child seat agreement.,12,Contain family.,2006-08-06,Brianna Thomas,Steven Medina,978-1-169-67066-2,Sony Music,Universal Music Publishing Group,SESAC,Reggeton,238163,False,warrendonald@example.org
Jordan Martinez,Color determine under time.,4,Better partner follow.,2000-12-14,Benjamin Patel,Deborah Fernandez,978-1-78038-567-9,Sony Music,Kobalt Music Group,ASCAP,Salsa,659157,False,nicole11@example.com
